GeneID	Length	accepted_hitsCHS1.bam	accepted_hitsCHS2.bam	accepted_hitsFHS1.bam	accepted_hitsFHS2.bam	accepted_hitsCC1.bam	accepted_hitsCC2.bam	accepted_hitsFC1.bam	accepted_hitsFC2.bam
8241FE752173002653088295DDF18AD3	1434	32	21	32	29	29	59	32	44
F02C978E3572C10B32CE5F4ABCAB6895	1009	318	140	207	281	403	510	272	432
4E80A9494AA7242BF95455441A02BA18	2563	349	161	235	339	469	660	324	501
BEE92ED20F99B89E869CABF469F8B320	1571	277	140	204	282	344	476	237	379
8CE27FAA0F19CDE948CA5C8E708A7EB1	3435	278	105	260	246	518	377	430	433
72717ED23C257041EC71248EB1BC5ECD	3598	319	186	242	403	592	606	499	684
978478B7F83DDE6420D69CB260CDC894	2467	239	127	172	298	356	407	323	458
131F846EC24C66411E76B2A17746B296	2793	67	39	72	62	66	78	60	98
AE5DC9C4F2DE645245109FE0DD7BF06C	2661	67	39	72	62	66	78	60	98
119EB37EAB16B320D57CE5363E04743D	5630	8037	5510	8910	13884	9480	12658	9191	12189
4754141853781E93438495C7A89287A9	2834	8068	5528	8967	13976	9555	12771	9271	12291
232BD324C97D6AB10CBB1737366AD561	3387	8076	5537	8979	13989	9575	12798	9313	12332
552FFC0375574296BBD6C1BB63DF186B	3423	8074	5534	8983	13989	9577	12788	9298	12331
FC5ACA2471C6F61EE2140DC3F8DF22D3	2830	8013	5488	8871	13823	9431	12612	9165	12138
94503BFCF7A268FDFA9468F37B4B40FB	2963	8013	5488	8871	13824	9431	12612	9165	12138
C73CC2298AA7BAA2AE3B32A92A1B9971	6949	87	106	120	179	180	163	146	215
2ACDCAEDA9C2573414AB7AB5140A55AA	1524	57	33	79	57	92	65	67	71
DF2D70AAA85F000D492657136FAFDA50	1323	444	221	399	426	468	840	844	786
8044103096280FA90740076E7267A8BC	5141	139	98	145	190	159	155	146	164
7B464DD7B3EEE5249B453E11C6045E1E	909	41	15	62	67	61	34	51	60
AB61F97F37F8A9EA3DF3E869A9F038A2	279	26	19	22	13	45	24	16	29
BAE193EDD7D2A82FC8A744771E530E9D	91	0	0	0	0	0	0	0	0
CA3D7B13CA9C2F2889FC58816CB419B0	300	296	237	273	305	758	307	380	223
65E18669B1692B75F2DF39D9EDCC2598	1255	2	0	0	0	1	1	0	1
4B4E3C3358768EF28F66D7FE83A75537	1062	2	0	0	0	1	1	0	1
8FD21C892840D9F90C3477049CC1D4BA	1102	2	0	0	0	1	1	0	1
62A1844D619F71CC531C9B7EC37B7EB0	1646	2	0	0	0	1	1	0	1
A78F898D483901F5129818D63528C4DC	1652	0	0	1	0	0	0	0	1
7F3B6A83941B418EF8C03ED4E6D2B104	1652	0	0	1	0	0	0	0	1
969485DC019549554174846747B20C75	1416	0	0	1	0	0	0	0	1
A312B4668593C9CAD7DF1507741BB1FB	2204	0	0	1	0	0	0	0	1
5BFE949096CC189135E45B5FAB85A30B	6090	255	180	175	184	211	169	141	186
B4B6DA1CFA8ECC8FC255C0604163228C	570	193	93	165	253	176	310	174	248
A8F444DDBD42CFAC4256640758BD1D6D	820	0	2	0	0	2	0	0	0
8F9DE6D66690F1282956E702897848A7	1067	0	2	0	0	2	0	0	0
9053F58F7086F0100D5D735405C5534E	3305	11	3	20	24	28	31	27	34
58C3FB1D5DFB54C714942E18E9D9DC9A	3517	11	3	20	24	27	30	27	34
16E1BD0C6AF1E16A706A5F1FB65B883D	3568	11	3	20	24	29	31	28	34
C9A6FD95AC5F44F7B34EC6956ADD7274	2971	11	3	20	24	27	30	27	34
C8D73ED94D0061FA2AEE215D0E2876BC	375	74	28	65	42	80	47	47	49
D985E06F4E732075EF013DABC630C822	4917	416	233	390	471	485	466	365	520
DA834BED1A70A6061E4F81199E4C5220	3218	0	0	0	0	0	0	0	0
209970CF07D41137351373B1DD2F12ED	336	1	0	0	0	1	2	0	1
882A17F800EC9D6F3D9A212323FB9B7E	381	11	11	29	31	26	19	24	12
444DE28FE9BF71F411BA0DE54BFECB8F	183	1	0	0	0	2	1	1	0
B60B1466E68D203FD7F696799A034609	1366	0	0	0	0	0	0	0	0
38BCD52BA1313433EE5202248ABE639E	3277	1	7	23	34	1	12	1	0
EFD6EFDABFE5DDAF5772623849DB09A1	3782	2	7	32	42	1	17	2	0
DBBF22195F857A2E019C9BB3CC49413C	5654	2	10	39	49	3	21	2	0
39CF2E8E206FA5AF4D88F7065AE24CE1	3194	471	444	580	541	200	203	160	297
2447C2F4139C20938F4E6334B1267562	2556	227	74	111	96	265	148	123	143
5AA49367ABE3923D8FC3F29E64972E22	336	0	0	1	0	3	3	1	1
6D256F3546B2821201E24DF3E9D59EFB	2221	289	207	387	504	465	513	313	445
A29F1DE7E77CCEC206627BBBE8C674C7	1954	285	198	381	494	447	507	311	424
09871DD60A7992A7AAFFC8026F02BD11	3254	290	207	387	505	465	513	313	445
FF5141379B31C6FFFE554D49219C3CA1	1236	0	0	0	0	0	0	0	0
E7D1547E4115AD6563EB4DA56EADE39E	11026	115	56	154	130	322	264	252	216
3CB7B57495C5607F6808CFDE6D53681F	2401	605	381	703	485	718	684	700	955
7535C0530512B76D2A16998AD90C3B42	1382	1	0	4	81	1	21	0	1
A62ADBA41F2D99A8B69F6D6A7D85D6DC	1801	2	0	4	83	1	22	0	1
28D4C4C42AC708FA464D6F68D1FC149E	3718	130	70	79	56	52	96	125	79
1D7D352A5A4132ABD5576E59B508DAC3	3405	130	70	79	55	52	95	125	78
A153F53C4F62844E6F657C4648839164	2580	86	52	62	46	36	75	93	55
257112ABB56AF162634F6FA0C94808D5	1608	35	19	8	34	69	76	75	69
99DF9691CD5F54567511BB3A810B266C	910	4	4	4	6	0	1	1	2
7EA4F9F1D0B10E0295CED01C3EAE0549	849	4	4	4	6	0	1	1	2
8C9539EEF8A90DE116ED620E438486BF	921	2	4	3	2	0	2	0	1
9018BFC5485D5677576304151CCDB542	6964	279	192	320	280	324	190	366	219
D0ADC49D8DF5A69CA1EF8444AD980C20	6135	286	194	322	282	330	192	367	226
0611C85AD7C4008ACCFB1BDE793042E5	5375	283	191	317	274	320	191	359	225
6AA61FD26E20A087F08D43A02E528A8C	5793	283	191	319	277	320	191	360	225
FBD7B07E30F7372D906EE846D89BA506	6944	276	189	317	275	314	189	359	218
0A5B247793842DEFF719BF5A07626D1C	5841	279	192	318	277	324	190	365	219
2242CDDAD64A55A86D71218CC2D590E5	1287	2	3	1	5	0	5	0	0
7C2720ADBAF136B1218319C43009624D	1339	0	0	0	0	0	0	0	0
570D9D410CFF70EFF281860546352C23	1955	0	0	0	0	0	0	0	0
71E2C328C7D67D5FA9C5D99FE74D8285	5126	0	0	0	0	0	0	0	0
18590B201450E9AA583CF7CD0FEFC29D	420	39	15	51	24	52	30	64	58
90581EC5600DC2D9630F392BB7453D81	5733	5	32	8	13	1	2	2	2
BF0B57153AA67795E003ECEF25CF37C1	868	0	0	0	0	0	0	0	0
841BE6A244399CCAB804D5243AAD333B	5678	5	32	8	13	1	2	2	2
54E90D7991F0365DD3DF3547FE7D0FEC	1001	0	0	0	0	0	0	0	0
49BF1FE209F745C10CE3A25BF576BDDB	1940	0	0	0	1	0	0	0	0
391E31639669D4A4E621C4671DCC342B	1113	11906	4687	9135	9565	7597	16961	15333	14726
C94555BBC12D66821F17B94E9C320B65	684	155	155	249	302	279	212	203	282
2163C3DDB82D9EFE45D4389AE8A5C7FB	3000	178	60	119	89	190	88	74	84
830C3052B4BBF752146592723D295E9E	3154	0	0	0	0	3	1	0	0
FFE2CEB8640EE351E80F6A124272317A	2746	0	0	0	0	3	1	0	0
50C765BFC2D11E6C4E50CEC6A958FBF8	830	452	309	343	487	385	719	393	464
C0BCCBA4BFDB3BCE26016B6AE3FEC5EA	4925	4577	3072	3162	4072	3042	7442	3354	4531
FC63B016CCF24A0B688CFA13B9A6D95B	1968	4565	3069	3155	4065	3041	7438	3348	4521
77B03707F6B6B0DBA1D80D94A2FAEC07	1668	4568	3070	3161	4071	3044	7447	3354	4530
F0D44A2FC7C10FE1228F2C769F715323	1326	4565	3069	3155	4065	3041	7438	3348	4521
8D3C9DE0D832CEA438F2AB5090E00071	1441	4568	3070	3161	4071	3043	7447	3353	4529
3027495C9BE2C57E9EFA6CDBB848010C	1245	0	0	0	0	0	1	1	0
EE3667FB655B1B16AB96C6D92050E381	987	774	394	679	745	741	962	705	954
A76B1DFA0F348CED89DB225A37B50B2D	1522	0	0	0	0	0	0	0	0
1FE46DF863AB38BE5870C48BFBBF5C33	140	0	0	0	0	0	0	0	0
6028C2E54E95CAB7925EB144CE8B7F82	2144	1244	511	716	665	1725	543	835	730
D119C5ED60F392C4C85B4CD0735FEB87	2108	1244	511	714	665	1725	543	835	730
0CE646F9C4F8432174450CCE3731F449	2292	1245	511	717	665	1725	543	835	731
9BD6AC44F25B0A0D519CA96136B53A63	5227	1822	905	1144	1056	3511	988	1570	1257
C120F0BBDF86245EC1D9987E51AFC5DC	2284	1243	510	714	666	1724	543	835	727
01AE7D0BA1AFB80979C91B04EF7D6185	1866	1237	500	707	659	1719	531	831	719
1A8412D8802171A8D8B353277B49FAA2	1402	2109	932	1381	1596	1023	2793	1556	1797
4244CD610A096FA5600C3D68A2C4EAC4	1929	2108	932	1381	1596	1024	2793	1556	1797
21A1A799A5875B32B2804A0479F40F91	1862	2109	932	1381	1596	1023	2793	1556	1797
E6BFD11276647C278D9AD29375E73F54	3412	0	0	0	0	0	0	0	0
8DBBB7748EA6F0E33C030F4D2ECA732B	3928	0	0	0	0	0	0	0	0
2B576546A064851823FF2DD6D4FBA456	1022	0	0	0	0	0	0	0	0
4E6389436E3AABCEBB0F5B2CD4BF60D0	103	0	0	0	0	0	0	0	0
B56981D07D8459A40F07F79239C289C1	4699	410	208	424	365	359	369	276	363
3AB2E9EA3F2D87731072AAD2192F6DE9	5022	410	208	424	365	359	369	276	364
ABE37ED3FD8EC44352456F7DA052E9D7	1750	280	133	261	223	228	191	161	193
D6875FC2C67EAB82F3B11E1C45809174	1865	75	23	80	43	97	23	72	49
1873819D498F60E3C14573CC33D1EDF4	2376	78	28	83	43	105	24	73	52
686E6811E09A063DD563F712BD4BE66F	2312	75	23	80	43	98	23	72	49
8DF986B4FEA669921657BCBD105F10D0	992	0	0	0	0	0	0	0	0
8F2DFC879BB32A86D6C18DA5620B7B14	615	0	0	0	0	1	0	0	0
C3B1476BED81259B55805567A7175606	615	0	0	0	0	1	0	0	0
783688F4B26B428E3BD37319DE4EC408	6393	465	359	269	504	107	160	59	144
2DE8B0BC6F7C9B258785CC5C40E9E3B8	4208	476	372	275	520	112	173	61	152
15ED5A56295F487069996E1B30508370	1692	133	7	18	16	14	27	14	22
4AD36F8873B3CFE7A471E2028F71244D	600	0	0	0	0	0	0	0	1
97E27AC7D0105617B0679273A9CD4FC7	727	0	0	0	0	0	0	0	1
70538CDDB2E7CDB4EBA5F9BA5033C1C6	2332	203	124	180	248	242	282	194	202
37CDBD167A909FCFD374CFE8581B17CE	2674	203	127	185	252	252	299	200	209
ED386DA550B4BC4FB52048F9E319280A	2386	191	122	178	245	250	296	194	205
2AC3D1438C552BE092AD60F36557FE46	1945	166	106	150	221	195	233	163	169
A515F2C6081ECD7C420A52E2EB508502	887	0	0	0	0	0	0	0	0
368CCCFEA50801F1009B1EBE8B9B5F94	423	0	0	0	0	0	0	0	0
36B51678C6413E93B25C4E0EDD53A94B	948	23	25	18	52	52	26	40	47
B4EC4AA34904C26ACC3D979F8EB5C881	2329	549	184	367	229	651	154	383	182
292C1E8BA6ACDF406EDBEF339CACB500	2384	584	197	386	243	689	171	409	199
5B2AF1B14910E46B034D3D193629FAC5	2265	584	189	386	243	688	171	409	199
19BB1DB7E2FFC45B61ED9CC4C733158F	2218	460	147	318	195	541	143	330	166
C70A742EB9A897DB0CC690548977FEEC	3192	535	378	448	419	496	338	219	361
E066DE2B1E82090DE0D1851555A0AB1A	3964	0	0	0	0	0	0	0	0
0F0AF455D2B9AA614840C14F6D61EAA2	4646	0	0	0	0	0	0	0	0
1126DF6058D876447B333D50C3C8021C	2645	0	0	0	0	0	0	0	0
46316EBD974790EBBA59E9FBE44D48BA	3289	0	0	0	0	0	0	0	0
AD7B5AB56E800E8882CA64F611F649A8	4706	0	0	0	0	0	0	0	0
A381D801F5011D15FD4D75B47CB86BC6	4236	0	0	0	0	0	0	0	0
6C017FEAAFC70D6F271079F145C46D28	3067	0	0	0	0	0	0	0	0
A3049F7DFFD5A345E258F97008FB590F	2213	0	0	0	0	0	0	0	0
C7A1210D091E1C62BC1B1C3211870089	3172	0	0	0	0	0	0	0	0
5456755658050DE5B7B3EA11F87C4047	2336	10	2	21	7	3	4	14	3
014C69D6CBD359BF7ED94567BACB4FFA	3841	14	2	27	13	7	8	21	4
11A601CC88BA505C01B2C05DC6614064	2630	1	2	1	2	2	1	0	0
1247AEDA6929848C414AC927B3EB8442	4511	91	62	106	126	88	109	85	116
BE2053375D94FC767348EF5DF4341C7F	6117	4731	2478	5700	4294	4119	8173	6543	7672
842C8F0C2883175C27FA2BA3DA169401	8049	4741	2488	5718	4304	4145	8208	6590	7709
098CFA7C2A3C7BC5B864FEB5B47833EA	978	89	43	93	104	69	76	48	59
3986963A5FB5B02FAF25C9DA74C6C70E	957	111	78	135	138	139	154	134	137
C907D46F5C4DBB17AB8A2A0947EEB7A7	4299	2	0	0	0	20	0	0	3
B6A4FDF626A15DF7D2F6A38C7D489E8C	2843	2	0	0	0	18	0	0	3
CECBD23D80B5E090BF6F7A80648E8992	3971	2	0	0	0	19	0	0	3
E682068E2C9C642AC76E924E8515A35D	3761	2	0	0	0	19	0	0	3
416F1872C148185EC6A6CA62BCD9C9A7	1715	111	69	126	127	208	116	97	116
3619FB9A51AAE0C7EDA1F2F5F21652E9	2552	141	74	141	142	234	123	118	127
DD7BA8915E576A253BBC486C0C94B4CC	540	3	1	3	11	56	21	19	32
2E6E4973956926EE8CFB713AFD07C99D	1869	0	0	0	0	0	0	0	1
0E77C8140F34789D86D76CD6344C928D	528	58	34	31	51	92	90	64	82
4AB95C6533DD4E91CD6E20A58CA84DB4	1076	0	0	0	0	0	0	0	1
B05574F0DC4ED8A7B9A38DADD619E430	708	0	0	0	0	0	0	0	0
4214F9A4F948B4D6F52D7959CA503B9F	1623	1110	641	1414	1673	1915	2014	1924	2161
E9F1E23F1E3267BB907FDB580C558071	4097	408	320	398	569	727	703	503	566
8D047DBBDEF8C0517190F4D725D38892	1459	1	0	0	0	0	1	1	1
9BD9E9C1E6E61E1EF5E8DC59B43EB26B	2407	111	60	46	58	72	90	112	94
2762039BF4333673FA726EAC3A758C0E	1935	111	60	46	58	72	90	112	94
746D71DD70DDEA301947A5A29ECFD604	8641	583	340	460	488	916	483	556	416
AB7B87B5F4E809D65CD3A2EE18F3EA64	5865	1905	1238	1602	1962	1465	1368	1041	1297
C1B3E1C057079038DCBBE1FD16AA6FAD	2131	31	39	41	35	106	105	63	66
197392AD370FBEBF2A1AD014D3228A06	849	20	28	23	30	66	51	39	45
45D5EE882DDA631855B01E51B65AF672	1754	3	1	5	15	10	3	11	9
EFD76FC0C473CABE107DFEAA5EB62FDF	1317	0	0	0	0	0	1	0	0
7D52395EE6F1CBC9A11FC86DF6596CED	4437	0	0	1	1	1	0	4	4
BA574F769D704B489423BB93F6FCC548	4405	0	0	1	1	1	0	6	4
C71F11FFFA685DEDC7325E9A9B6F54A9	798	102	50	105	98	182	95	100	119
CBEAF17BCE677E2CD1216DAD9E01BE92	895	10	12	9	15	20	14	17	15
0B4281EA326B6EB4DA312EABB3F97561	3206	8286	7475	10697	13331	6459	16977	8829	9777
4E06B68711C9D22DC0C48DA7657B6510	2303	8280	7475	10692	13329	6458	16975	8827	9774
4A0A9E5CE615646CFA666459878EE7E5	2299	8280	7475	10692	13329	6458	16975	8827	9774
49634BB29A49BC90ADCFBE53F78A8D80	2540	8286	7475	10697	13331	6459	16977	8829	9777
6DD4BFD2EAD00B9DF49E82878713A5F9	2089	6257	5946	7957	9963	5078	13538	6931	7248
18DAC70064CDFE012A776E4DDA9A6DDD	9480	202	158	126	145	439	222	213	268
9CBA7133CFF9E359EE8F412A19B615FD	2732	76	34	52	58	90	37	48	81
B4D1AE52C47D0B5FCFFC49FB9B8865A8	3201	117	60	75	80	154	75	76	130
4848C3344FC8C0A28FE84984298194EA	3454	117	60	75	80	154	75	76	131
99338D4B2D933D96BBC563FA2EB5F887	4065	117	60	75	80	154	75	76	131
D4FC0F5A520C7876B79CE5DB94705444	7742	187	128	111	129	319	173	166	220
5D6B87F42606D959F8C815187238736A	3785	117	60	75	80	155	75	76	130
833A8F025FD24D81A0414EF96CD4DFFF	8283	196	144	113	138	326	176	175	235
EA2526CEB3CFE43ED58FA0086D267B81	4442	19	29	17	90	113	61	37	93
A26738E006C9422D36B2FC8231E2F622	4669	21	31	18	95	121	67	37	97
33E9CAF99D108B7744A5B7804165E40A	786	12	0	17	5	13	6	7	15
B04B66E8BF98B7AC76A04C3CAFB3D985	3567	0	0	0	0	0	0	1	0
E222CB19B9D7B30A2C9795ACC56A8B5D	3606	539	825	391	1120	1410	2204	1101	1611
BE90F1EDFE7A7C649AF6D41E9EEF5559	1113	76	31	82	120	124	152	117	128
56D46309090C4925A110A747A4398BDE	6777	262	144	260	293	360	384	358	446
F7CDBD529214F15ED7A5A971F4D6C79C	7496	262	144	260	293	360	384	358	446
33CAD08083B7E1AAB62FE1430C4808A7	1038	24	25	27	39	27	16	22	23
